attempt_id,transaction_id,customer_id,amount_paise,currency,status,failure_reason,method,attempt_no,retry_of_attempt_id,gateway_ref,created_at
pa_000001,txn_000001,cust_0290,799900,INR,FAILED,expired_card,wallet,1,,pay_SYN00000001,2026-08-27T18:14:11+05:30
pa_000002,txn_000002,cust_0422,299900,INR,FAILED,payment_method_declined,upi,1,,pay_SYN00000002,2026-08-16T19:51:55+05:30
pa_000003,txn_000003,cust_0482,449900,INR,FAILED,expired_card,wallet,1,,pay_SYN00000003,2026-08-19T11:42:38+05:30
pa_000004,txn_000004,cust_0407,1499900,INR,FAILED,payment_method_declined,upi,1,,pay_SYN00000004,2026-08-11T05:12:59+05:30
pa_000005,txn_000005,cust_0015,799900,INR,FAILED,payment_network_error,upi,1,,pay_SYN00000005,2026-08-20T13:53:15+05:30
pa_000006,txn_000006,cust_0133,1499900,INR,FAILED,expired_card,wallet,1,,pay_SYN00000006,2026-08-24T20:39:17+05:30
pa_000007,txn_000007,cust_0274,1199900,INR,FAILED,expired_card,card,1,,pay_SYN00000007,2026-08-24T08:23:07+05:30
pa_000008,txn_000008,cust_0331,1499900,INR,FAILED,authentication_failed,card,1,,pay_SYN00000008,2026-08-27T17:24:22+05:30
pa_000009,txn_000009,cust_0210,399900,INR,FAILED,payment_method_declined,upi,1,,pay_SYN00000009,2026-08-28T13:36:42+05:30
pa_000010,txn_000010,cust_0409,299900,INR,FAILED,authentication_failed,wallet,1,,pay_SYN00000010,2026-08-27T18:42:17+05:30
pa_000011,txn_000011,cust_0123,399900,INR,FAILED,expired_card,netbanking,1,,pay_SYN00000011,2026-08-12T10:04:24+05:30
pa_000012,txn_000012,cust_0479,449900,INR,FAILED,payment_network_error,wallet,1,,pay_SYN00000012,2026-08-21T22:53:23+05:30
pa_000013,txn_000013,cust_0351,899900,INR,FAILED,unknown,upi,1,,pay_SYN00000013,2026-08-29T15:33:50+05:30
pa_000014,txn_000014,cust_0318,3999900,INR,FAILED,suspected_fraud,card,1,,pay_SYN00000014,2026-08-27T08:30:29+05:30
pa_000015,txn_000015,cust_0328,449900,INR,FAILED,unknown,upi,1,,pay_SYN00000015,2026-08-09T18:41:29+05:30
pa_000016,txn_000016,cust_0134,3999900,INR,FAILED,unknown,card,1,,pay_SYN00000016,2026-08-30T06:18:23+05:30
pa_000017,txn_000017,cust_0258,2499900,INR,FAILED,unknown,upi,1,,pay_SYN00000017,2026-08-18T16:26:22+05:30
pa_000018,txn_000018,cust_0311,149900,INR,FAILED,unknown,netbanking,1,,pay_SYN00000018,2026-08-17T11:10:25+05:30
pa_000019,txn_000019,cust_0461,3999900,INR,FAILED,unknown,upi,1,,pay_SYN00000019,2026-08-20T20:53:04+05:30
pa_000020,txn_000020,cust_0483,249900,INR,FAILED,unknown,wallet,1,,pay_SYN00000020,2026-08-16T12:13:15+05:30
pa_000021,txn_000021,cust_0119,1499900,INR,FAILED,authentication_failed,netbanking,1,,pay_SYN00000021,2026-08-11T17:37:55+05:30
pa_000022,txn_000022,cust_0435,799900,INR,FAILED,payment_network_error,card,1,,pay_SYN00000022,2026-08-21T18:04:22+05:30
pa_000023,txn_000023,cust_0287,249900,INR,FAILED,expired_card,wallet,1,,pay_SYN00000023,2026-08-08T19:43:08+05:30
pa_000024,txn_000024,cust_0181,799900,INR,FAILED,authentication_failed,netbanking,1,,pay_SYN00000024,2026-08-16T10:08:12+05:30
pa_000025,txn_000025,cust_0146,149900,INR,FAILED,payment_method_declined,wallet,1,,pay_SYN00000025,2026-08-15T16:19:21+05:30
pa_000026,txn_000026,cust_0362,299900,INR,FAILED,payment_method_declined,wallet,1,,pay_SYN00000026,2026-08-16T18:29:41+05:30
pa_000027,txn_000027,cust_0474,399900,INR,FAILED,payment_network_error,card,1,,pay_SYN00000027,2026-08-24T15:43:23+05:30
pa_000028,txn_000027,cust_0474,399900,INR,SUCCESS,,card,2,pa_000027,pay_SYN00000028,2026-08-28T15:43:23+05:30
pa_000029,txn_000028,cust_0388,129900,INR,FAILED,insufficient_funds,card,1,,pay_SYN00000029,2026-08-29T19:24:53+05:30
pa_000030,txn_000028,cust_0388,129900,INR,SUCCESS,,card,2,pa_000029,pay_SYN00000030,2026-08-29T19:49:53+05:30
pa_000031,txn_000029,cust_0141,299900,INR,FAILED,payment_method_declined,netbanking,1,,pay_SYN00000031,2026-08-25T17:46:42+05:30
pa_000032,txn_000029,cust_0141,299900,INR,SUCCESS,,netbanking,2,pa_000031,pay_SYN00000032,2026-08-26T17:46:42+05:30
pa_000033,txn_000030,cust_0450,799900,INR,FAILED,insufficient_funds,card,1,,pay_SYN00000033,2026-08-16T20:26:50+05:30
pa_000034,txn_000030,cust_0450,799900,INR,SUCCESS,,card,2,pa_000033,pay_SYN00000034,2026-08-18T20:26:50+05:30
pa_000035,txn_000031,cust_0273,2499900,INR,FAILED,payment_method_declined,upi,1,,pay_SYN00000035,2026-08-16T19:48:41+05:30
pa_000036,txn_000031,cust_0273,2499900,INR,SUCCESS,,upi,2,pa_000035,pay_SYN00000036,2026-08-17T01:48:41+05:30
pa_000037,txn_000032,cust_0475,799900,INR,FAILED,payment_network_error,upi,1,,pay_SYN00000037,2026-08-17T12:22:42+05:30
pa_000038,txn_000032,cust_0475,799900,INR,SUCCESS,,upi,2,pa_000037,pay_SYN00000038,2026-08-21T12:22:42+05:30
pa_000039,txn_000033,cust_0337,1199900,INR,FAILED,payment_network_error,wallet,1,,pay_SYN00000039,2026-08-21T13:20:24+05:30
pa_000040,txn_000033,cust_0337,1199900,INR,SUCCESS,,wallet,2,pa_000039,pay_SYN00000040,2026-08-21T13:45:24+05:30
pa_000041,txn_000034,cust_0115,799900,INR,FAILED,payment_method_declined,card,1,,pay_SYN00000041,2026-08-29T16:22:22+05:30
pa_000042,txn_000034,cust_0115,799900,INR,SUCCESS,,card,2,pa_000041,pay_SYN00000042,2026-08-29T16:47:22+05:30
pa_000043,txn_000035,cust_0471,1199900,INR,FAILED,payment_method_declined,netbanking,1,,pay_SYN00000043,2026-08-10T13:05:17+05:30
pa_000044,txn_000035,cust_0471,1199900,INR,SUCCESS,,netbanking,2,pa_000043,pay_SYN00000044,2026-08-10T13:30:17+05:30
pa_000045,txn_000036,cust_0005,399900,INR,FAILED,expired_card,wallet,1,,pay_SYN00000045,2026-08-19T13:59:08+05:30
pa_000046,txn_000036,cust_0005,399900,INR,SUCCESS,,wallet,2,pa_000045,pay_SYN00000046,2026-08-19T15:29:08+05:30
pa_000047,txn_000037,cust_0163,149900,INR,FAILED,authentication_failed,wallet,1,,pay_SYN00000047,2026-08-23T10:57:02+05:30
pa_000048,txn_000037,cust_0163,149900,INR,FAILED,authentication_failed,wallet,2,pa_000047,pay_SYN00000048,2026-08-23T11:08:02+05:30
pa_000049,txn_000038,cust_0253,899900,INR,FAILED,insufficient_funds,card,1,,pay_SYN00000049,2026-08-28T21:10:57+05:30
pa_000050,txn_000038,cust_0253,899900,INR,FAILED,insufficient_funds,card,2,pa_000049,pay_SYN00000050,2026-08-30T21:10:57+05:30
pa_000051,txn_000038,cust_0253,899900,INR,FAILED,authentication_failed,card,3,pa_000050,pay_SYN00000051,2026-08-30T21:13:57+05:30
pa_000052,txn_000039,cust_0395,799900,INR,FAILED,payment_network_error,upi,1,,pay_SYN00000052,2026-08-15T13:16:10+05:30
pa_000053,txn_000039,cust_0395,799900,INR,FAILED,payment_method_declined,upi,2,pa_000052,pay_SYN00000053,2026-08-15T13:27:10+05:30
pa_000054,txn_000040,cust_0363,249900,INR,FAILED,insufficient_funds,netbanking,1,,pay_SYN00000054,2026-08-09T20:57:29+05:30
pa_000055,txn_000040,cust_0363,249900,INR,FAILED,authentication_failed,netbanking,2,pa_000054,pay_SYN00000055,2026-08-09T21:00:29+05:30
pa_000056,txn_000041,cust_0121,899900,INR,FAILED,insufficient_funds,upi,1,,pay_SYN00000056,2026-08-25T07:30:47+05:30
pa_000057,txn_000041,cust_0121,899900,INR,FAILED,authentication_failed,upi,2,pa_000056,pay_SYN00000057,2026-08-25T08:17:47+05:30
pa_000058,txn_000041,cust_0121,899900,INR,FAILED,payment_network_error,upi,3,pa_000057,pay_SYN00000058,2026-08-26T08:17:47+05:30
pa_000059,txn_000042,cust_0374,399900,INR,FAILED,payment_network_error,wallet,1,,pay_SYN00000059,2026-08-23T11:33:40+05:30
pa_000060,txn_000042,cust_0374,399900,INR,FAILED,expired_card,wallet,2,pa_000059,pay_SYN00000060,2026-08-24T11:33:40+05:30
pa_000061,txn_000042,cust_0374,399900,INR,FAILED,payment_method_declined,wallet,3,pa_000060,pay_SYN00000061,2026-08-24T11:36:40+05:30
pa_000062,txn_000043,cust_0046,129900,INR,FAILED,payment_method_declined,netbanking,1,,pay_SYN00000062,2026-08-10T11:04:40+05:30
pa_000063,txn_000043,cust_0046,129900,INR,FAILED,expired_card,netbanking,2,pa_000062,pay_SYN00000063,2026-08-10T23:04:40+05:30
pa_000064,txn_000044,cust_0073,799900,INR,FAILED,authentication_failed,wallet,1,,pay_SYN00000064,2026-08-12T12:43:20+05:30
pa_000065,txn_000044,cust_0073,799900,INR,FAILED,expired_card,wallet,2,pa_000064,pay_SYN00000065,2026-08-12T15:43:20+05:30
pa_000066,txn_000044,cust_0073,799900,INR,FAILED,insufficient_funds,wallet,3,pa_000065,pay_SYN00000066,2026-08-13T15:43:20+05:30
pa_000067,txn_000044,cust_0073,799900,INR,FAILED,payment_network_error,wallet,4,pa_000066,pay_SYN00000067,2026-08-15T15:43:20+05:30
pa_000068,txn_000045,cust_0144,14900,INR,FAILED,expired_card,upi,1,,pay_SYN00000068,2026-08-26T17:57:58+05:30
pa_000069,txn_000046,cust_0178,299900,INR,FAILED,insufficient_funds,netbanking,1,,pay_SYN00000069,2026-08-08T16:39:15+05:30
pa_000070,txn_000047,cust_0410,14900,INR,FAILED,payment_method_declined,wallet,1,,pay_SYN00000070,2026-08-20T22:50:23+05:30
pa_000071,txn_000048,cust_0009,149900,INR,FAILED,expired_card,wallet,1,,pay_SYN00000071,2026-08-13T12:45:59+05:30
pa_000072,txn_000049,cust_0276,14900,INR,FAILED,expired_card,netbanking,1,,pay_SYN00000072,2026-08-10T19:53:17+05:30
pa_000073,txn_000050,cust_0223,149900,INR,FAILED,authentication_failed,card,1,,pay_SYN00000073,2026-08-08T19:36:14+05:30
pa_000074,txn_000051,cust_0272,19900,INR,FAILED,expired_card,card,1,,pay_SYN00000074,2026-08-15T10:56:51+05:30
pa_000075,txn_000052,cust_0186,249900,INR,FAILED,payment_method_declined,wallet,1,,pay_SYN00000075,2026-08-15T17:39:27+05:30
pa_000076,txn_000053,cust_0399,14900,INR,FAILED,payment_network_error,wallet,1,,pay_SYN00000076,2026-08-18T21:58:01+05:30
pa_000077,txn_000054,cust_0484,399900,INR,FAILED,payment_method_declined,card,1,,pay_SYN00000077,2026-08-11T19:03:44+05:30
pa_000078,txn_000055,cust_0322,19900,INR,FAILED,payment_network_error,wallet,1,,pay_SYN00000078,2026-08-30T20:01:39+05:30
pa_000079,txn_000056,cust_0246,249900,INR,FAILED,insufficient_funds,netbanking,1,,pay_SYN00000079,2026-08-10T14:02:33+05:30
pa_000080,txn_000057,cust_0204,8999900,INR,FAILED,payment_network_error,upi,1,,pay_SYN00000080,2026-08-28T11:33:17+05:30
pa_000081,txn_000058,cust_0169,8999900,INR,FAILED,payment_network_error,wallet,1,,pay_SYN00000081,2026-08-19T18:24:09+05:30
pa_000082,txn_000059,cust_0285,2499900,INR,FAILED,insufficient_funds,upi,1,,pay_SYN00000082,2026-08-19T14:29:57+05:30
pa_000083,txn_000060,cust_0231,8999900,INR,FAILED,insufficient_funds,upi,1,,pay_SYN00000083,2026-08-27T18:22:47+05:30
pa_000084,txn_000061,cust_0103,3999900,INR,FAILED,expired_card,upi,1,,pay_SYN00000084,2026-08-15T13:04:06+05:30
pa_000085,txn_000062,cust_0021,3999900,INR,FAILED,insufficient_funds,netbanking,1,,pay_SYN00000085,2026-08-29T13:07:57+05:30
pa_000086,txn_000063,cust_0462,1199900,INR,FAILED,expired_card,wallet,1,,pay_SYN00000086,2026-05-04T08:24:20+05:30
pa_000087,txn_000064,cust_0305,1499900,INR,FAILED,insufficient_funds,netbanking,1,,pay_SYN00000087,2026-04-29T20:52:42+05:30
pa_000088,txn_000065,cust_0330,3999900,INR,FAILED,payment_method_declined,wallet,1,,pay_SYN00000088,2026-04-27T12:32:32+05:30
pa_000089,txn_000066,cust_0268,899900,INR,FAILED,insufficient_funds,netbanking,1,,pay_SYN00000089,2026-03-30T16:44:24+05:30
pa_000090,txn_000067,cust_0421,2499900,INR,FAILED,payment_method_declined,card,1,,pay_SYN00000090,2026-04-16T16:47:43+05:30
pa_000091,txn_000068,cust_0248,899900,INR,FAILED,expired_card,wallet,1,,pay_SYN00000091,2026-05-20T15:56:54+05:30
pa_000092,txn_000069,cust_0391,299900,INR,FAILED,expired_card,card,1,,pay_SYN00000092,2026-06-28T07:56:36+05:30
pa_000093,txn_000070,cust_0323,249900,INR,FAILED,payment_network_error,upi,1,,pay_SYN00000093,2026-06-20T12:55:12+05:30
pa_000094,txn_000071,cust_0001,399900,INR,SUCCESS,,netbanking,1,,pay_SYN00000094,2026-08-21T18:48:33+05:30
pa_000095,txn_000072,cust_0001,249900,INR,SUCCESS,,upi,1,,pay_SYN00000095,2026-04-01T20:21:48+05:30
pa_000096,txn_000073,cust_0002,6499900,INR,SUCCESS,,netbanking,1,,pay_SYN00000096,2026-07-15T09:32:47+05:30
pa_000097,txn_000074,cust_0002,899700,INR,SUCCESS,,netbanking,1,,pay_SYN00000097,2026-06-22T14:21:43+05:30
pa_000098,txn_000075,cust_0002,399900,INR,SUCCESS,,wallet,1,,pay_SYN00000098,2026-03-16T11:45:41+05:30
pa_000099,txn_000076,cust_0002,1499900,INR,SUCCESS,,card,1,,pay_SYN00000099,2026-09-01T21:04:25+05:30
pa_000100,txn_000077,cust_0002,2499900,INR,SUCCESS,,upi,1,,pay_SYN00000100,2026-05-22T19:10:56+05:30
pa_000101,txn_000078,cust_0002,149900,INR,SUCCESS,,netbanking,1,,pay_SYN00000101,2026-04-15T16:30:05+05:30
pa_000102,txn_000079,cust_0002,3999900,INR,SUCCESS,,card,1,,pay_SYN00000102,2026-04-10T19:32:22+05:30
pa_000103,txn_000080,cust_0002,1499900,INR,SUCCESS,,upi,1,,pay_SYN00000103,2026-03-09T20:14:44+05:30
