transaction_id,customer_id,product_id,quantity,amount_paise,currency,status,method,attempt_count,created_at,updated_at,refunded_at
txn_000001,cust_0290,prod_010,1,799900,INR,FAILED,wallet,1,2026-08-27T18:14:11+05:30,2026-08-27T18:14:11+05:30,
txn_000002,cust_0422,prod_013,1,299900,INR,FAILED,upi,1,2026-08-16T19:51:55+05:30,2026-08-16T19:51:55+05:30,
txn_000003,cust_0482,prod_017,1,449900,INR,FAILED,wallet,1,2026-08-19T11:42:38+05:30,2026-08-19T11:42:38+05:30,
txn_000004,cust_0407,prod_004,1,1499900,INR,FAILED,upi,1,2026-08-11T05:12:59+05:30,2026-08-11T05:12:59+05:30,
txn_000005,cust_0015,prod_010,1,799900,INR,FAILED,upi,1,2026-08-20T13:53:15+05:30,2026-08-20T13:53:15+05:30,
txn_000006,cust_0133,prod_004,1,1499900,INR,FAILED,wallet,1,2026-08-24T20:39:17+05:30,2026-08-24T20:39:17+05:30,
txn_000007,cust_0274,prod_018,1,1199900,INR,FAILED,card,1,2026-08-24T08:23:07+05:30,2026-08-24T08:23:07+05:30,
txn_000008,cust_0331,prod_004,1,1499900,INR,FAILED,card,1,2026-08-27T17:24:22+05:30,2026-08-27T17:24:22+05:30,
txn_000009,cust_0210,prod_003,1,399900,INR,FAILED,upi,1,2026-08-28T13:36:42+05:30,2026-08-28T13:36:42+05:30,
txn_000010,cust_0409,prod_013,1,299900,INR,FAILED,wallet,1,2026-08-27T18:42:17+05:30,2026-08-27T18:42:17+05:30,
txn_000011,cust_0123,prod_003,1,399900,INR,FAILED,netbanking,1,2026-08-12T10:04:24+05:30,2026-08-12T10:04:24+05:30,
txn_000012,cust_0479,prod_017,1,449900,INR,FAILED,wallet,1,2026-08-21T22:53:23+05:30,2026-08-21T22:53:23+05:30,
txn_000013,cust_0351,prod_014,1,899900,INR,FAILED,upi,1,2026-08-29T15:33:50+05:30,2026-08-29T15:33:50+05:30,
txn_000014,cust_0318,prod_005,1,3999900,INR,FAILED,card,1,2026-08-27T08:30:29+05:30,2026-08-27T08:30:29+05:30,
txn_000015,cust_0328,prod_017,1,449900,INR,FAILED,upi,1,2026-08-09T18:41:29+05:30,2026-08-09T18:41:29+05:30,
txn_000016,cust_0134,prod_005,1,3999900,INR,FAILED,card,1,2026-08-30T06:18:23+05:30,2026-08-30T06:18:23+05:30,
txn_000017,cust_0258,prod_011,1,2499900,INR,FAILED,upi,1,2026-08-18T16:26:22+05:30,2026-08-18T16:26:22+05:30,
